Text (Q/A),state,predicted class,true class,correct,Top three features/words and their weights,note
"Question: How does the primary election process work for affiliated and unaffiliated voters? Answer: Oklahoma is a partially closed primary state. Each party has the ability to choose whether to allow unaffiliated voters or voters not registered with their party to participate in their primary. This decision is made in November of each odd-numbered year. As of 2021, the Democratic party has allowed independents to vote in their primaries, but independents are not allowed to vote in Republican or Libertarian parties. In a primary election if a candidate does not with the majority of the votes (50%+1) there will be a primary runoff election scheduled for a few weeks after the primary election date. The runoff election will have the top two candidates with the most votes to ensure that one of them receives the majority of the voters. If you have any questions about your states primary election, please contact your local election officials .",OK,secondary,secondary,True,primary (0.1545); election (0.1168); unaffiliated (0.0503),
"Question: Why are ""independent"" or nonaffiliated candidates not on the primary election ballot? Answer: Some candidates choose to not be affiliated with any political party. We call these nonaffiliated candidates, although they are commonly referred to by voters and the media as independent.* Primary elections are held by parties to determine their nominee for the General Election in November. Offices like Governor, U.S. Senator, or State Representative are examples of partisan offices that have primary elections. Since nonaffiliated candidates are not seeking a party nomination, they cannot participate in the primary. Some offices are also nonpartisan, which means no candidates run with partisan labels. For example, county commissioners and judicial races are nonpartisan races in Oregon. These races do appear on primary ballots. *Not to be confused with the Independent Party, which is a recognized minor political party in Oregon.",OR,primary,primary,True,primary (-0.0548); political (0.0309); party (0.0307),
"Question: What forms of identification are accepted for voting? Answer: Instead of using traditional polling places where voters go to cast ballots on Election Day, a ballot is mailed to each registered voter. You will need to sign the return envelope of your ballot. Your signature will be matched with your voter registration card to verify your identity.Voters can call or text 844-338-8743 at any time to reach VoteRiders Voter ID Helpline",OR,secondary,secondary,True,ID (0.0801); voter (-0.0643); forms (0.0580),
Question: What if I miss the application deadline for a mail ballot? Answer: If you have an emergency (such as an unexpected illness or disability or last-minute absence from your municipality) you may still be able to get a ballot after the deadline. Find information about how to get an emergency absentee ballot.,PA,primary,primary,True,deadline (-0.0809); mail (-0.0404); absentee (-0.0328),
"Question: When is the deadline to request a mail-in or absentee ballot? Answer: The deadline to request a ballot varies by state, typically a few days to two weeks before Election Day. Check your state’s deadline.",PA,secondary,secondary,True,deadline (0.1622); state (0.0813); days (0.0788),
"Question: Does Rhode Island have early voting? Answer: Automated Voter Registration (AVR) improves the voter registration process, beginning at the DMV, by automatically registering citizens to vote unless they choose to opt-out of the process. This means when someone updates their address at the DMV they will also update their voter registration information. This will help eliminate the bloat in our voter rolls that occur from unintentional, duplicate voter registrations, and reduce the potential for voter fraud. Automatically updating the voter rolls any time a citizen updates his/her address, initially at the DMV and in the future, at any government agency will help ensure that Rhode Islands voter rolls are as accurate and up to date as possible.",RI,primary,primary,True,voter (0.1107); process (-0.0279); Voter (0.0228),
"Question: What is the Polling Place Locator? Answer: You can find your polling place by utilizing your state resource. If you have further questions on your polling place location, please contact your county clerk.",RI,secondary,secondary,True,resource (0.1281); utilizing (0.0844); location (0.0767),
"Question: What happens after I submit an absentee ballot application? Answer: Upon verification of registered status and completed application by your county auditor, you will be mailed an absentee ballot packet. You will mark the ballot and place the voted ballot in the enclosed return envelope. You will then sign your name on the reverse side of the return envelope. This signature will be verified against the signature on the absentee ballot application to confirm the form was completed by the same individual. Once your county auditor receives your returned absentee ballot it is recorded in the statewide voter registration list. This prevents a voter from returning an absentee ballot and voting on Election Day. Absentee ballots are not opened until Election Day. Absentee ballots are removed from the return envelopes without unfolding the ballot and immediately placed in a secure ballot box to ensure voter privacy.",SD,primary,primary,True,absentee (-0.0628); voter (0.0555); Absentee (-0.0323),
"Question: What are the eligibility requirements to vote? Answer: To be eligible to vote you must be: A U.S. citizen A resident in South Dakota (To be a resident means the place in which you have a fixed habitation and whenever you are absent intend to return to) At least 18 years old on or before the election Not currently serving a sentence for a felony conviction which included imprisonment, served or suspended, in an adult penitentiary system Not judged mentally incompetent by a court of law",SD,secondary,secondary,True,requirements (0.0574); years (0.0509); resident (0.0484),
"Question: What if I don’t bring a photo ID to the polling place? Answer: If you don’t bring a photo ID, you will vote a provisional ballot. You will then have two (2) business days after Election Day to return to the election commission office to show a valid photo ID. Upon returning to the election commission office, the voter will sign an affidavit and a copy of the voter’s photo ID will be made to be reviewed by the counting board.",TN,primary,primary,True,ID (-0.1592); photo (0.0965); provisional (-0.0866),
Question: When is early voting available? Answer: No drop boxes are available. Voters must return their voted absentee ballots by mail.,TN,secondary,secondary,True,available (0.1876); drop (0.1051); boxes (0.0853),
"Question: If I submit a voter registration form, how will I know if I am registered to vote? Answer: You may check your voter registration status online at Vote.Utah.gov or you may contact the Utah County Elections Office at (801) 851-8128. If, for some reason, you are not qualified or the information on your form is incomplete, your application will be returned to you with instructions for completion. (For this reason it is a good idea to include your daytime telephone number on your registration form).",UT,primary,primary,True,voter (0.0515); status (-0.0430); gov (0.0357),
"Question: When are official election results released? Answer: Official results are never available on Election Day. Election officials are working around the clock to count an unprecedented number of ballots, and it’s essential that they take the time to make sure every vote is counted. Absentee ballots begin being counted on Election Day. Provisional ballots are counted no later than 14 days after the election. Results for the 2024 General Elections will be posted on this page beginning approx. 8:00 pm after the polls close on Election Day. A results tracking button will be available starting Election Night and during the canvass period to display the preliminary or unofficial results.",UT,secondary,secondary,True,available (0.0883); Provisional (0.0717); ballots (0.0571),
"Question: How do I file a complaint? Answer: If you have a complaint related to your registration or voting experience, the law provides several options for you to take action. Send a letter to the Virginia Department of Elections. Address: Virginia Department of Elections1100 Bank Street, First FloorRichmond, VA 23219. Go to:www.elections.virginia.gov/voter-complaints and file an informal complaint form online. Send an email to info@elections.virginia.gov. Be sure to provide as much information as you can in the complaint. The complaint will be sent to the Department of Elections, and to your general registrar.",VA,primary,primary,True,gov (0.0431); complaint (0.0354); Virginia (-0.0263),
"Question: HOW CAN I APPLY FOR AN EMERGENCY ABSENTEE BALLOT? Answer: You can apply for an emergency absentee ballot if you at:- Hospitalized or have an illness- Dealing with a hospitalization, illness or death of a spouse, child or parent- Have another emergency found to justify an emergency absentee ballotIf you meet these requirements, you can have a designated representative request an absentee ballot through the day before the election. You must complete the application and deliver it to the local registrar's office by 2 pm the day before the election. Voted ballots must be returned before the polls close on Election Day.",VA,secondary,secondary,True,absentee (0.0474); election (0.0436); pm (0.0404),
Question: Will my ballot count if I only vote in a couple races? Answer: Yes. There is no requirement that a voter vote the whole ballot. Your vote will be counted in every race where you recorded a vote.,VT,primary,primary,True,Yes (0.0445); requirement (-0.0331); voter (0.0283),
"Question: Where can I find Poll Worker Information? Answer: You can make sure we have safe, fair, and efficient elections for all. Become a poll worker today! In order to be a poll worker in Vermont, you must: Be registered to vote in Vermont Be entitled to compensation Be at least 18 years of age Political affiliation considered Be a resident of the voting district Complete required training Students who are 16 and 17 years old may be appointed as assistant elections officers To sign up, contact your local board of elections.",VT,secondary,secondary,True,local (0.0656); worker (0.0643); poll (0.0604),
"Question: What offices are affected? Answer: The Top 2 Primary applies to partisan office. In Washington, this includes the United States Senate and House of Representatives, the State Legislature, statewide partisan office such as Governor, and county partisan office such as County Commissioner. The Top 2 Primary does not apply to elections for: President and Vice President; or Political Party Precinct Committee Officer (PCO). While there are some slight variations, elections for nonpartisan office, such as city council or judge, operate in a similar manner to the Top 2 Primary. Generally, the two candidates in a nonpartisan race who receive the most votes in the Primary are the only candidates allowed to advance to the General Election.",WA,primary,primary,True,Primary (-0.0643); General (0.0180); partisan (0.0177),
"Question: What ID is Needed for Voting? Answer: ID is needed when you register to vote and ID is only required if you use an audiovisual unit at a voting center. Acceptable forms of ID for voting include: Photo ID, such as a driver's license, state ID card, student ID card, or tribal ID card Voter registration card Utility Bill Bank statement Paycheck Government check Other government document A voter who does not have ID may vote a provisional ballot. Voters can call or text 844-338-8743 at any time to reach VoteRiders Voter ID Helpline",WA,secondary,secondary,True,ID (0.2218); provisional (0.0634); time (0.0353),
"Question: HOW DO I RETURN MY ABSENTEE BALLOT? Answer: You can return your absentee ballot by mail or in-person at your municipal clerk’s office or polling site. It must be received by 8pm on Election Day. Here are more details: Mail it back using the pre-addressed, postage paid envelope included with your ballot packet. USPS recommends mailing your ballot back at least 7 days before Election Day. Once your ballot is in the mail, you may not vote in person at the polls. Go to your clerk's office to drop off your ballot or vote in-person absentee. Your clerk might require an appointment or offer other in-person absentee voting locations, like your local library. Take it to your assigned polling place or absentee counting location on Election Day. Designate another person to deliver it for you. If it is too close to the election to mail your completed ballot, and you are not able to deliver your ballot because of a disability, you have the right to have someone else deliver your completed ballot. Any voter who requires assistance with mailing or delivering their absentee ballot to the municipal clerk, or with any other part of the voting process, because of a disability must be permitted to receive such assistance. Voters are entitled to receive assistance from a person of the voter’s choice, other than the voter’s employer or agent of that employer or officer or agent of the voter’s union.",WI,primary,primary,True,voter (0.0704); clerk (0.0680); absentee (-0.0596),
Question: When would I need to vote using a provisional ballot? Answer: Provisional voting is available and ballots are counted no more than 4 days after the Election.Provisional voting is available if the ballot was cast in the correct precinct.,WI,secondary,secondary,True,available (0.1627); Provisional (0.1246); provisional (0.0946),Missing label 1 for WI; used NY instead.
"Question: May homeless people register to vote? Answer: Yes, if a person has no permanent residence but lives in the county, he or she may use the address of a shelter, assistance center, or family member.",WV,primary,primary,True,Yes (0.0581); Answer (0.0408); shelter (-0.0370),
"Question: How can I request and return an absentee ballot for an upcoming general election? Answer: 2024 General Election: Important Return Dates In West Virginia, completed mail-in ballots must be postmarked by November 5th. For in-person delivery, ballots must be submitted to your County Clerk's office by November 4th. Absentee voting is available if you meet any of the criteria below. The last day to request an absentee ballot is 6 days before the election. Voted ballots must be postmarked by Election Day and received no later than 5 days after Election Day in order to be counted. You can return your absentee ballot request form through the mail, in person, or scanned as an attachment to an email. Just be sure to include your proof of ID no matter how you return the request form. You can sign up to track your absentee ballot on your Secretary of State website. Absentee ballots begin being counted on Election Day. For more information contact your local election officials . Requesting and Returning your Absentee Ballot You may submit an absentee ballot application beginning 84 days before the General Election if you meet any of the following criteria: Attending school Illness, injury or other medical reason Traveling outside the county for business or personal reasons Incarcerated or serving home confinement for misdemeanor, and legally registered to vote Work hours and distance from county seat Work assignment requires living temporarily outside the county (4 years or less) Service as election or appointed or federal official requires living temporarily outside country If the early voting, or Election Day polling locations are inaccessible If you are attending college or another place of education or training To download the absentee ballot application, use your state's resource. Your request for an absentee ballot must be received no later than the 6th day before the election. Unless you are voting absentee by mail because of illness or disability, the ballot must be mailed to an out-of-county address. You may apply as early as eighty-four days before the election, but the ballots are not ready for mailing to you until six weeks before the election. Mailed ballots must be postmarked by Election Day and received no later than five days after Election Day in order to be counted. You can hand-deliver your ballot, but those must be received no later than the day before Election Day. You can track your ballot to see where it is in the process. Voting in Person if Absentee Ballot was Requested Those who requested an absentee ballot but end up voting in person: Voters must surrender their absentee ballots before receiving a regular ballot, otherwise they must vote by a provisional ballot. Do not mail a ballot and vote in person. For specifics, you can find your local county clerk contact info here. Permanent Absentee Voting If you are a participant in the West Virginia Secretary of State's Address Confidentiality Program or you have a permanent, physical disability that prevents you from going to a polling place, you can apply for permanent absentee voting. Emergency Absentee Voting If you're in a hospital or other health care facility on Election Day or are a poll worker appointed to a precinct other than your own after Early Voting you can apply for emergency absentee voting . Some counties allow for emergency absentee voting in other situations, so be sure to check with your County Clerk for more information. Request your Ballot",WV,secondary,secondary,True,days (0.0905); absentee (0.0485); election (0.0411),
"Question: What identification will I need to register? Answer: One of the following: ● United States Passport; ● Valid driver’s license or ID card issues by any state; ● ID issued by a federal, state or local government/agency; ● Photo ID card issued by the University of Wyoming, a Wyoming community college, or a Wyoming public school; ● United States Military ID; or ● ID card issued to a Dependent of a member of the United States Armed Forces. OR Any two or more of the following: ● Certification of United States Citizenship; ● Certificate of Naturalization; ● United States Military Draft Record; ● Voter’s Registration Card from another State or County; ● United States Social Security Card; ● Certification of Birth Abroad issued by the Department of State; ● Original or certified copy of a birth certificate bearing an official seal; and ● Any other form of identification issued by an official agency of the United States or a State. In the event of a challenge, if the residence address is not included in the document or if it is not current, then you may be required to produce other documentation of your residence address in accordance with W.S. 22-3-118 or 22-15-101 through 109. In the event of a challenge, the following documents, showing your name and address, are acceptable proof of identity and residency: ● Current utility bill; ● Current bank statement; ● Current government check; ● Current paycheck; or ● Any other current government document showing your name and address.",WY,primary,primary,True,ID (-0.1274); United (0.1149); Wyoming (0.0450),
"Question: What are the eligibility requirements to vote? Answer: To be eligible to vote you must be: 18 years of age on Election Day A U.S. Citizen A resident of Wyoming and the precinct in which you register Withdrawn from voter registration from any other jurisdiction, if applicable Not convicted of a felony or adjudicated mentally incompetent",WY,primary,secondary,False,requirements (-0.0702); Wyoming (0.0547); years (-0.0523),
"Question: which candidates can run in the general election? Answer: candidates running for a voter-nominated office cannot run in the general election without having been one of the top two vote-getters in the primary election (refer to "" what is a voter-nominated office? "" above). an exception is made if no candidate has been nominated at the primary election for a voter-nominated office. if this occurs, a candidate can use the independent nomination process to run in the general election. additionally, candidates running for the office of u.s. president can run in the general election as either a presidential elector using the independent nomination process or a presidential elector write-in candidate. for more information about running for office, please refer to candidate resources .",ca,primary,primary,True,general (0.0365); voter (0.0335); primary (-0.0294),
Question: can i track my mailed ballot? Answer: you can track the status of your vote-by-mail ballot by visiting themy voter status websiteor thewhere's my ballot website.,ca,secondary,secondary,True,status (0.0981); mail (0.0700); voter (-0.0623),
"Question: If I make a mistake on my ballot, can I get a new one? Answer: You can ask a poll worker for another ballot to correct a mistake before you cast it. If voting in person, simply ask a nearby poll worker. If voting absentee, contact your county elections office about cancelling your ballot and getting a new one.",ga,primary,primary,True,worker (-0.0935); poll (-0.0725); mistake (0.0404),
"Question: What assistance is available at the polls for voters who have difficulties reading English or have physical disabilities? Answer: You may receive assistance at the polls if you are unable to read the English language or if you have a physical disability that renders you unable to see or mark the ballot, operate the voting equipment, or enter the voting booth. In order to receive assistance, everyone, except those that are blind, must take an oath stating the reason they need assistance. The person providing assistance to you must sign on the oath. When there is a federal candidate on the ballot, you can select anyone you want to assist you in voting, except for your employer, an agent of that employer, or an officer or agent of your union. When there is no federal candidate on the ballot, you can select any other resident of the precinct or a parent, sibling, spouse or child (provided they are not a candidate on the ballot or a relative of a candidate on the ballot) to assist you inside the voting booth. No person may assist more than ten voters in a primary, election, or runoff. Note: Between the hours of 9:30 am and 4:30 pm on the day of an election, voters who are 75 years of age or older or who are physically disabled may, upon request to a poll officer, vote immediately without waiting in line. Adaptive Voting Machines are available that voters can use to navigate through the ballot and make their selections— a hand-held controller called the Audio Tactile Interface (ATI), sip and puff device, or paddle device.",ga,secondary,secondary,True,available (0.0867); employer (0.0476); disabilities (0.0402),
"Question: When and where will results be reported? Answer: Unofficial results will be reported by the SEC on election night at scVOTES.gov. Results are reported in real time as we receive them from each county board of voter registration and elections. Results may also be reported locally by the county board. On Friday following the election, county election boards determine which provisional ballots to count, and those votes are added to the totals. The SEC meets later to certify the results at which time the results become official. (http://www.scvotes.org/)",sc,primary,primary,True,reported (0.0425); provisional (-0.0391); gov (0.0295),
"Question: Where can I find information about candidates and ballot measures for the upcoming election? Answer: Information on local, state and federal candidates and ballot measures may be available here. (https://www.vote411.org/ballot#.UFoDEFHh-Sp)",sc,secondary,secondary,True,measures (0.1230); vote411 (0.1065); available (0.0658),
